;country;Gender;Age;Marital status;Stratum Urban;HM25_1;Natur of work;Level of Wealth;Fathers level education;Parent_affiliated_with Social Security;Participation in elections;Freedom to speach out about government;Resort to nepotism;Trust in Parliment;Trust in employers;Trust in associations;Trust in political_parties;Political system;Formality
1569;DZ;Male;20 - 24;Never Mar;Rural;Higher;manual t;No;Middle;Yes;Non;Completel;No;Non;yes;yes;Oui;Oui;informal
1571;LB;Male;<= 19;Never Mar;Rural;Primary;non manua;No;Primary;No;Non;Not at al;No;Non;yes;yes;Oui;Oui;informal
1572;LB;Female;25+;Ever Marr;Rural;Middle;non manua;No;Middle;No;Non;Not at al;No;Non;yes;yes;Oui;Oui;informal
1573;DZ;Male;20 - 24;Never Mar;Urban;Secondary;non manua;No;Middle;Yes;Non;Completel;No;Non;yes;yes;Oui;Oui;informal
1574;TN;Female;25+;Never Mar;Urban;Secondary;non manua;No;Primary;Yes;Non;Not at al;No;Non;yes;yes;Non;Non;informal
1575;TN;Female;25+;Ever Marr;Urban;Secondary;non manua;No;Primary;Yes;Non;Not at al;No;Non;No;No;Non;Non;informal
1578;DZ;Male;20 - 24;Never Mar;Rural;Higher;manual t;No;Primary;Yes;Non;Completel;No;Non;No;yes;Oui;Oui;informal
1579;EG;Male;20 - 24;Never Mar;Urban;Secondary;non manua;No;Middle;No;Oui;Not at al;No;Non;No;yes;Non;Non;informal
1580;EG;Male;<= 19;Never Mar;Rural;Secondary;manual t;No;No educati;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
1581;TN;Male;25+;Never Mar;Urban;Middle;non manua;No;No educati;No;Oui;Not at al;Yes;Non;No;yes;Non;Non;informal
1583;EG;Male;25+;Ever Marr;Rural;Primary;manual t;No;No educati;Yes;Oui;Not at al;No;Non;No;No;Non;Non;informal
1584;TN;Male;25+;Never Mar;Urban;Secondary;manual t;No;Primary;Yes;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;informal
1585;LB;Female;25+;Ever Marr;Urban;Higher;non manua;No;Higher;No;Non;Not at al;No;Non;yes;yes;Oui;Oui;informal
1586;LB;Male;20 - 24;Never Mar;Urban;Higher;non manua;Yes;Secondary;No;Non;Not at al;No;Non;yes;yes;Non;Non;informal
1588;TN;Male;25+;Never Mar;Urban;Middle;manual t;No;No educati;Yes;Non;Not at al;No;Non;yes;yes;Oui;Oui;informal
1589;EG;Male;20 - 24;Never Mar;Rural;Secondary;manual t;No;No educati;No;Oui;Not at al;No;Non;No;No;Non;Non;informal
1590;LB;Female;25+;Ever Marr;Urban;Secondary;non manua;No;Middle;No;Non;Not at al;No;Non;No;yes;Non;Non;informal
1591;DZ;Female;25+;Ever Marr;Rural;Primary;manual t;No;Primary;No;Oui;Completel;No;Non;yes;yes;Oui;Oui;informal
1592;EG;Male;25+;Never Mar;Urban;Primary;non manua;No;No educati;Yes;Oui;Not at al;No;Non;No;yes;Oui;Non;informal
1593;EG;Male;25+;Ever Marr;Rural;Primary;manual t;No;No educati;No;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;informal
1594;TN;Female;20 - 24;Never Mar;Rural;Middle;non manua;No;Primary;Yes;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;informal
1595;TN;Male;20 - 24;Never Mar;Rural;Middle;manual t;No;No educati;Yes;Non;Not at al;No;Non;yes;No;Non;Non;informal
1596;TN;Male;<= 19;Never Mar;Rural;Middle;non manua;No;Middle;Yes;Non;Not at al;No;Non;No;No;Non;Non;informal
1597;TN;Female;20 - 24;Never Mar;Rural;Secondary;manual t;No;Primary;No;Non;Not at al;No;Non;No;yes;Oui;Oui;informal
1598;EG;Female;20 - 24;Never Mar;Urban;Higher;non manua;No;Secondary;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
1599;TN;Female;<= 19;Never Mar;Urban;Secondary;non manua;No;Middle;Yes;Non;Not at al;No;Non;yes;No;Oui;Non;informal
1600;LB;Male;25+;Never Mar;Urban;Middle;non manua;Yes;No educati;Yes;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;informal
1601;TN;Male;<= 19;Never Mar;Rural;Middle;non manua;No;Middle;Yes;Non;Not at al;Yes;Non;yes;No;Non;Non;informal
1602;EG;Female;20 - 24;Ever Marr;Urban;Middle;manual t;No;Secondary;Yes;Non;Not at al;No;Non;No;No;Non;Non;informal
1603;EG;Male;20 - 24;Never Mar;Rural;Secondary;manual t;No;No educati;No;Oui;Not at al;No;Non;No;No;Non;Non;informal
1604;LB;Male;25+;Ever Marr;Rural;Middle;non manua;No;Primary;No;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
1605;TN;Male;20 - 24;Never Mar;Urban;Middle;manual t;No;Primary;No;Non;Not at al;No;Non;No;yes;Oui;Oui;informal
1606;DZ;Male;<= 19;Never Mar;Urban;Middle;non manua;No;Middle;Yes;Oui;Not at al;Yes;Non;No;No;Non;Non;informal
1607;EG;Male;25+;Never Mar;Rural;Higher;non manua;No;Higher;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
1611;LB;Female;<= 19;Never Mar;Urban;Secondary;non manua;Yes;Secondary;No;Non;Not at al;No;Non;yes;No;Non;Non;informal
1612;DZ;Male;25+;Ever Marr;Urban;Middle;manual t;No;Primary;Yes;Oui;Completel;No;Non;yes;yes;Oui;Oui;informal
1613;EG;Female;25+;Ever Marr;Rural;Higher;non manua;No;Secondary;No;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
1615;EG;Male;20 - 24;Never Mar;Urban;Primary;manual t;No;Secondary;Yes;Oui;Not at al;No;Non;yes;No;Non;Non;informal
1616;DZ;Male;25+;Never Mar;Urban;Secondary;manual t;No;No educati;Yes;Non;Not at al;No;Non;yes;yes;Non;Non;informal
1617;EG;Male;20 - 24;Never Mar;Urban;Secondary;manual t;No;Middle;Yes;Oui;Not at al;No;Non;yes;No;Non;Non;informal
1618;DZ;Female;<= 19;Never Mar;Rural;Middle;manual t;No;No educati;No;Non;Completel;No;Non;yes;yes;Oui;Oui;informal
1619;LB;Male;20 - 24;Never Mar;Urban;Secondary;manual t;Yes;No educati;No;Non;Not at al;No;Non;yes;yes;Oui;Oui;informal
1620;TN;Male;20 - 24;Never Mar;Urban;Secondary;non manua;No;Middle;Yes;Non;Not at al;Yes;Non;yes;No;Non;Non;informal
1621;EG;Female;20 - 24;Never Mar;Rural;Higher;non manua;No;No educati;Yes;Oui;Not at al;No;Non;No;No;Non;Non;informal
1622;LB;Male;25+;Never Mar;Urban;Secondary;manual t;No;Middle;No;Non;Not at al;Yes;Non;No;yes;Non;Non;informal
1623;TN;Male;<= 19;Never Mar;Rural;Middle;manual t;No;Primary;Yes;Non;Not at al;No;Non;No;No;Non;Non;informal
1625;EG;Male;20 - 24;Never Mar;Urban;Higher;non manua;No;Middle;Yes;Oui;Not at al;Yes;Non;No;No;Non;Non;informal
1626;EG;Male;20 - 24;Never Mar;Rural;No educati;manual t;No;No educati;No;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;informal
1627;LB;Male;20 - 24;Never Mar;Urban;Higher;non manua;Yes;Middle;No;Non;Not at al;Yes;Non;No;No;Non;Non;informal
1628;LB;Female;25+;Never Mar;Urban;Higher;non manua;Yes;Middle;No;Non;Not at al;No;Non;yes;yes;Oui;Non;informal
1630;LB;Male;25+;Ever Marr;Urban;Secondary;manual t;No;Higher;Yes;Oui;Not at al;No;Non;No;yes;Oui;Oui;informal
1631;EG;Male;25+;Never Mar;Urban;Primary;non manua;No;No educati;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
1632;EG;Male;20 - 24;Never Mar;Urban;Primary;manual t;No;No educati;No;Oui;Not at al;No;Non;No;No;Non;Non;informal
1634;EG;Male;25+;Ever Marr;Urban;Secondary;manual t;No;No educati;No;Non;Not at al;No;Non;No;No;Non;Non;informal
1635;LB;Male;25+;Never Mar;Urban;Secondary;non manua;No;Middle;No;Non;Not at al;Yes;Non;No;yes;Non;Non;informal
1636;TN;Female;25+;Never Mar;Urban;Higher;non manua;Yes;No educati;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
1637;LB;Male;25+;Never Mar;Rural;Middle;manual t;No;Middle;No;Non;Not at al;Yes;Non;yes;No;Non;Non;informal
1638;TN;Male;25+;Never Mar;Urban;Secondary;manual t;No;Middle;Yes;Oui;Not at al;No;Non;No;No;Non;Non;informal
1639;LB;Male;20 - 24;Never Mar;Urban;Higher;manual t;Yes;Secondary;No;Non;Not at al;Yes;Non;yes;yes;Oui;Oui;informal
1640;TN;Male;20 - 24;Never Mar;Rural;Secondary;manual t;No;Middle;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
1641;EG;Male;25+;Never Mar;Rural;Secondary;manual t;No;No educati;No;Oui;Not at al;No;Non;No;yes;Oui;Oui;informal
1642;EG;Male;<= 19;Never Mar;Urban;Secondary;non manua;No;No educati;Yes;Oui;Not at al;No;Non;yes;yes;Non;Non;informal
1643;DZ;Female;25+;Never Mar;Rural;Higher;manual t;No;No educati;Yes;Non;Not at al;Yes;Non;yes;yes;Non;Non;informal
1644;TN;Male;25+;Never Mar;Urban;Secondary;manual t;No;Primary;No;Non;Not at al;Yes;Non;No;No;Non;Non;informal
1645;DZ;Male;20 - 24;Never Mar;Urban;Higher;manual t;No;Middle;Yes;Non;Not at al;No;Non;yes;No;Non;Non;informal
1647;DZ;Female;25+;Never Mar;Urban;Higher;manual t;No;No educati;No;Non;Not at al;Yes;Non;yes;No;Non;Non;informal
1648;TN;Male;<= 19;Never Mar;Urban;Secondary;non manua;No;Primary;Yes;Non;Not at al;Yes;Non;yes;yes;Oui;Oui;informal
1651;EG;Male;<= 19;Never Mar;Rural;Secondary;manual t;No;No educati;No;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
1654;TN;Male;<= 19;Never Mar;Rural;Middle;manual t;No;Primary;No;Non;Not at al;No;Non;yes;yes;Oui;Oui;informal
1655;EG;Male;20 - 24;Never Mar;Rural;Secondary;manual t;No;Secondary;No;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
1656;TN;Male;<= 19;Never Mar;Urban;Secondary;non manua;No;Middle;No;Non;Not at al;No;Non;No;No;Non;Non;informal
1657;TN;Male;25+;Never Mar;Rural;Secondary;manual t;No;Primary;Yes;Oui;Not at al;No;Non;yes;No;Oui;Oui;informal
1658;EG;Male;25+;Never Mar;Rural;Secondary;non manua;No;No educati;No;Oui;Not at al;No;Non;No;No;Oui;Oui;informal
1659;LB;Female;20 - 24;Never Mar;Urban;Middle;non manua;No;No educati;Yes;Non;Not at al;No;Non;No;No;Non;Non;informal
1660;LB;Female;25+;Never Mar;Urban;Middle;non manua;No;No educati;No;Oui;Not at al;Yes;Non;No;No;Non;Non;informal
1661;EG;Male;25+;Never Mar;Rural;Secondary;manual t;No;No educati;Yes;Oui;Not at al;No;Non;No;No;Non;Non;informal
1662;EG;Male;25+;Ever Marr;Rural;Middle;manual t;No;No educati;No;Oui;Not at al;No;Non;No;No;Oui;Non;informal
1663;TN;Male;<= 19;Never Mar;Urban;Middle;manual t;No;Primary;Yes;Non;Not at al;No;Non;yes;yes;Oui;Oui;informal
1664;EG;Male;25+;Ever Marr;Rural;Secondary;manual t;No;No educati;Yes;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;informal
1665;EG;Male;20 - 24;Ever Marr;Rural;Primary;manual t;No;No educati;No;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
1666;EG;Male;25+;Never Mar;Urban;Middle;manual t;No;Secondary;Yes;Oui;Not at al;No;Non;No;No;Non;Non;informal
1668;EG;Male;20 - 24;Never Mar;Rural;Higher;non manua;No;Middle;No;Oui;Not at al;No;Non;No;No;Non;Non;informal
1669;TN;Male;20 - 24;Never Mar;Rural;Secondary;non manua;No;Primary;Yes;Non;Not at al;No;Non;yes;yes;Oui;Oui;informal
1670;EG;Male;<= 19;Never Mar;Rural;Secondary;non manua;No;Secondary;Yes;Non;Not at al;No;Non;No;No;Non;Non;informal
1672;DZ;Male;20 - 24;Never Mar;Urban;Higher;non manua;No;Secondary;Yes;Oui;Not at al;No;Non;yes;yes;Non;Oui;informal
1673;DZ;Male;<= 19;Never Mar;Urban;Middle;manual t;No;Primary;Yes;Non;Not at al;Yes;Non;yes;yes;Oui;Oui;informal
1674;TN;Male;20 - 24;Never Mar;Urban;Secondary;non manua;No;Secondary;Yes;Non;Not at al;Yes;Non;No;No;Non;Non;informal
1675;DZ;Male;25+;Never Mar;Rural;Middle;manual t;No;No educati;No;Non;Completel;No;Non;No;yes;Oui;Oui;informal
1676;DZ;Female;20 - 24;Never Mar;Urban;Secondary;manual t;No;No educati;Yes;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;informal
1677;DZ;Female;20 - 24;Ever Marr;Rural;Middle;non manua;Yes;No educati;Yes;Non;Not at al;No;Non;No;No;Non;Non;informal
1678;DZ;Female;20 - 24;Never Mar;Urban;Higher;non manua;No;Higher;Yes;Oui;Not at al;No;Non;No;No;Non;Non;informal
1679;TN;Male;<= 19;Never Mar;Rural;Middle;manual t;No;Primary;No;Non;Not at al;No;Non;No;yes;Oui;Oui;informal
1680;EG;Male;25+;Ever Marr;Rural;Secondary;manual t;No;Primary;No;Oui;Not at al;No;Non;No;yes;Oui;Oui;informal
1681;LB;Male;25+;Ever Marr;Urban;Primary;non manua;No;Primary;No;Oui;Not at al;No;Non;yes;No;Non;Non;informal
1682;TN;Male;25+;Ever Marr;Urban;Middle;manual t;No;Primary;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
1683;LB;Female;<= 19;Never Mar;Urban;Middle;non manua;No;Primary;No;Non;Not at al;No;Non;yes;yes;Oui;Oui;informal
1685;EG;Male;25+;Never Mar;Rural;Secondary;non manua;No;Secondary;Yes;Oui;Not at al;No;Non;No;No;Non;Non;informal
1687;EG;Male;20 - 24;Never Mar;Rural;Secondary;non manua;No;Primary;Yes;Oui;Not at al;No;Non;No;yes;Oui;Non;informal
1688;TN;Female;25+;Never Mar;Urban;Secondary;non manua;No;Primary;No;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
1689;DZ;Male;20 - 24;Never Mar;Urban;Middle;manual t;No;Primary;Yes;Non;Not at al;Yes;Non;No;yes;Oui;Oui;informal
1690;LB;Female;25+;Never Mar;Urban;Higher;non manua;No;Primary;Yes;Non;Not at al;No;Non;yes;yes;Non;Non;informal
1692;DZ;Male;20 - 24;Never Mar;Urban;Primary;manual t;No;No educati;No;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
1693;EG;Male;20 - 24;Never Mar;Rural;Secondary;manual t;No;Secondary;Yes;Oui;Not at al;No;Non;No;No;Non;Non;informal
1695;LB;Female;20 - 24;Never Mar;Rural;Higher;non manua;Yes;No educati;No;Non;Not at al;No;Non;No;No;Non;Non;informal
1696;EG;Male;20 - 24;Never Mar;Urban;Primary;non manua;No;No educati;No;Non;Not at al;No;Non;yes;yes;Oui;Oui;informal
1697;DZ;Male;25+;Never Mar;Rural;Middle;manual t;No;No educati;No;Oui;Completel;No;Non;yes;yes;Oui;Oui;informal
1699;EG;Male;25+;Ever Marr;Urban;Secondary;manual t;No;No educati;Yes;Non;Not at al;Yes;Non;No;yes;Oui;Oui;informal
1702;TN;Male;20 - 24;Never Mar;Urban;Middle;manual t;No;Primary;Yes;Non;Not at al;No;Non;yes;yes;Oui;Oui;informal
1704;EG;Male;20 - 24;Never Mar;Urban;Middle;non manua;No;No educati;No;Oui;Not at al;No;Non;yes;yes;Non;Non;informal
1705;DZ;Male;25+;Never Mar;Urban;Higher;non manua;No;Secondary;Yes;Oui;Not at al;Yes;Non;No;No;Non;Non;informal
1706;LB;Male;<= 19;Never Mar;Urban;Primary;non manua;Yes;Secondary;No;Non;Not at al;No;Non;No;No;Non;Non;informal
1707;LB;Male;20 - 24;Never Mar;Rural;Secondary;non manua;Yes;Middle;Yes;Non;Not at al;No;Non;yes;yes;Non;Non;informal
1709;DZ;Male;20 - 24;Never Mar;Urban;Secondary;non manua;No;Middle;Yes;Non;Completel;Yes;Non;No;No;Non;Non;informal
1711;EG;Male;25+;Never Mar;Rural;Secondary;non manua;No;Higher;Yes;Oui;Not at al;No;Non;No;No;Oui;Oui;informal
1712;TN;Male;25+;Never Mar;Urban;Middle;manual t;No;Primary;Yes;Non;Not at al;Yes;Non;yes;yes;Oui;Oui;informal
1713;TN;Male;20 - 24;Ever Marr;Urban;Middle;manual t;No;Primary;No;Non;Not at al;No;Non;No;No;Non;Non;informal
1715;TN;Female;20 - 24;Never Mar;Rural;Primary;manual t;No;No educati;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
1716;LB;Female;20 - 24;Never Mar;Urban;Secondary;non manua;No;Primary;Yes;Non;Completel;No;Non;No;No;Non;Oui;informal
1717;LB;Male;25+;Never Mar;Rural;Higher;manual t;Yes;Middle;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
1718;TN;Female;20 - 24;Ever Marr;Urban;Secondary;non manua;Yes;Primary;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
1719;LB;Male;25+;Never Mar;Urban;Secondary;non manua;Yes;Higher;Yes;Non;Not at al;No;Non;No;No;Non;Non;informal
1720;EG;Male;25+;Never Mar;Urban;Secondary;manual t;No;Middle;Yes;Oui;Not at al;No;Non;No;yes;Oui;Oui;informal
1721;LB;Female;25+;Never Mar;Urban;Secondary;non manua;No;Middle;Yes;Oui;Not at al;Yes;Non;No;No;Oui;Oui;informal
1723;LB;Male;25+;Never Mar;Urban;Middle;non manua;No;Middle;No;Oui;Not at al;Yes;Non;No;No;Non;Non;informal
1725;TN;Male;20 - 24;Never Mar;Urban;Secondary;manual t;No;Secondary;No;Oui;Not at al;No;Non;No;yes;Oui;Oui;informal
1728;EG;Male;20 - 24;Never Mar;Urban;Higher;non manua;No;Higher;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
1729;EG;Male;20 - 24;Never Mar;Urban;No educati;non manua;No;Primary;No;Non;Not at al;No;Non;No;yes;Non;Non;informal
1730;EG;Male;20 - 24;Never Mar;Rural;Primary;manual t;No;No educati;No;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
1731;LB;Female;25+;Never Mar;Urban;Higher;non manua;Yes;No educati;No;Non;Not at al;No;Non;yes;yes;Oui;Oui;informal
1735;DZ;Male;20 - 24;Never Mar;Rural;Secondary;non manua;No;Primary;No;Oui;Completel;Yes;Non;yes;No;Non;Non;informal
1736;LB;Male;25+;Ever Marr;Rural;Higher;non manua;No;Primary;No;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
1737;EG;Male;25+;Ever Marr;Urban;Middle;manual t;No;No educati;No;Oui;Not at al;No;Non;No;yes;Oui;Oui;informal
1739;EG;Male;<= 19;Never Mar;Rural;Secondary;non manua;No;No educati;No;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
1740;LB;Male;25+;Ever Marr;Urban;Secondary;non manua;No;Middle;Yes;Non;Not at al;Yes;Non;yes;No;Oui;Non;informal
1741;LB;Male;25+;Ever Marr;Urban;Middle;non manua;Yes;Primary;No;Oui;Not at al;Yes;Non;yes;No;Oui;Non;informal
1743;LB;Female;20 - 24;Never Mar;Urban;Higher;manual t;Yes;Secondary;No;Non;Not at al;Yes;Non;No;No;Non;Non;informal
1744;EG;Male;20 - 24;Never Mar;Rural;Secondary;manual t;No;No educati;No;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
1745;LB;Male;25+;Never Mar;Rural;Middle;non manua;Yes;Middle;Yes;Non;Not at al;Yes;Non;yes;yes;Non;Non;informal
1747;EG;Male;<= 19;Never Mar;Rural;Secondary;manual t;No;No educati;No;Oui;Not at al;No;Non;yes;yes;Non;Non;informal
1749;EG;Male;25+;Never Mar;Rural;Secondary;manual t;No;Middle;No;Oui;Not at al;No;Non;No;yes;Oui;Non;informal
1750;LB;Female;25+;Ever Marr;Urban;Secondary;non manua;No;Primary;Yes;Oui;Not at al;Yes;Non;yes;No;Non;Non;informal
1751;DZ;Male;20 - 24;Never Mar;Rural;Primary;manual t;Yes;Primary;No;Oui;Not at al;No;Non;No;No;Oui;Oui;informal
1752;TN;Male;25+;Ever Marr;Rural;Middle;manual t;No;No educati;No;Oui;Not at al;No;Non;No;No;Non;Non;informal
1754;TN;Female;<= 19;Never Mar;Urban;Middle;manual t;No;Primary;Yes;Non;Not at al;No;Non;No;No;Non;Non;informal
1755;LB;Female;20 - 24;Ever Marr;Urban;Higher;non manua;Yes;Middle;Yes;Non;Not at al;Yes;Non;yes;yes;Oui;Oui;informal
1756;LB;Male;25+;Never Mar;Urban;Middle;non manua;Yes;Primary;No;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
1757;DZ;Male;20 - 24;Never Mar;Urban;Secondary;manual t;No;Primary;Yes;Non;Not at al;No;Non;yes;yes;Oui;Oui;informal
1758;EG;Male;25+;Ever Marr;Rural;Primary;manual t;No;No educati;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
1760;EG;Male;<= 19;Never Mar;Urban;No educati;non manua;No;No educati;No;Oui;Not at al;Yes;Non;No;yes;Oui;Oui;informal
1761;EG;Male;<= 19;Never Mar;Rural;Primary;manual t;No;No educati;No;Oui;Not at al;No;Non;No;No;Non;Non;informal
1764;TN;Male;<= 19;Never Mar;Rural;Secondary;manual t;No;No educati;No;Non;Not at al;No;Non;No;No;Non;Non;informal
1765;DZ;Male;<= 19;Never Mar;Rural;Middle;manual t;No;Middle;Yes;Non;Completel;Yes;Non;yes;yes;Non;Non;informal
1766;LB;Male;<= 19;Never Mar;Rural;Higher;non manua;Yes;Secondary;Yes;Non;Not at al;Yes;Non;yes;yes;Non;Non;informal
1768;LB;Male;20 - 24;Never Mar;Urban;Secondary;non manua;No;No educati;No;Non;Not at al;No;Non;yes;No;Non;Non;informal
1769;TN;Female;25+;Never Mar;Urban;Primary;manual t;No;Primary;No;Oui;Not at al;No;Non;No;No;Oui;Oui;informal
1772;LB;Male;20 - 24;Never Mar;Urban;Middle;manual t;No;Middle;No;Non;Not at al;Yes;Non;yes;No;Non;Non;informal
1773;LB;Female;20 - 24;Never Mar;Urban;Middle;non manua;Yes;Middle;No;Non;Not at al;No;Non;yes;yes;Non;Non;informal
1774;TN;Female;20 - 24;Never Mar;Urban;Secondary;manual t;No;Primary;Yes;Oui;Not at al;No;Non;No;yes;Non;Non;informal
1775;EG;Male;20 - 24;Never Mar;Rural;Higher;non manua;No;Secondary;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
1776;EG;Female;25+;Never Mar;Rural;Secondary;manual t;No;No educati;No;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
1777;EG;Female;20 - 24;Never Mar;Urban;Higher;non manua;No;Secondary;No;Oui;Not at al;No;Non;yes;yes;Non;Non;informal
1778;LB;Male;25+;Ever Marr;Urban;Secondary;non manua;No;Middle;No;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
1779;TN;Male;<= 19;Never Mar;Urban;Middle;non manua;No;Primary;No;Non;Not at al;No;Non;No;No;Non;Non;informal
1780;TN;Male;25+;Ever Marr;Urban;Middle;non manua;No;Primary;No;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
1781;LB;Female;20 - 24;Never Mar;Urban;Secondary;manual t;No;No educati;No;Non;Not at al;No;Non;yes;yes;Oui;Oui;informal
1782;EG;Male;20 - 24;Never Mar;Rural;Secondary;non manua;No;Primary;No;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
1783;LB;Male;25+;Ever Marr;Urban;Higher;non manua;Yes;Higher;No;Non;Not at al;No;Non;No;No;Non;Non;informal
1785;EG;Male;25+;Ever Marr;Rural;Secondary;manual t;No;No educati;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
1787;DZ;Male;20 - 24;Never Mar;Urban;Secondary;manual t;No;Middle;Yes;Oui;Completel;Yes;Non;No;No;Non;Non;informal
1789;EG;Male;20 - 24;Never Mar;Rural;Secondary;manual t;No;Secondary;Yes;Non;Not at al;No;Non;yes;yes;Oui;Non;informal
1790;LB;Male;<= 19;Never Mar;Urban;Primary;non manua;Yes;Primary;No;Non;Not at al;No;Non;No;No;Non;Non;informal
1791;LB;Male;25+;Never Mar;Urban;Middle;manual t;No;Middle;No;Non;Not at al;Yes;Non;No;No;Non;Non;informal
1792;TN;Male;20 - 24;Never Mar;Urban;Secondary;non manua;No;Secondary;Yes;Oui;Not at al;Yes;Non;No;yes;Non;Oui;informal
1795;EG;Male;25+;Never Mar;Urban;Higher;non manua;No;Primary;No;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
1796;EG;Male;25+;Ever Marr;Urban;Higher;non manua;No;Secondary;Yes;Oui;Not at al;No;Non;yes;yes;Non;Non;informal
1798;LB;Male;25+;Never Mar;Urban;Middle;manual t;Yes;Middle;No;Non;Not at al;Yes;Non;No;yes;Non;Non;informal
1799;LB;Male;20 - 24;Never Mar;Rural;Higher;non manua;Yes;Primary;No;Non;Not at al;Yes;Non;No;yes;Non;Non;informal
1801;TN;Male;<= 19;Never Mar;Rural;Middle;non manua;No;Secondary;No;Non;Not at al;No;Non;No;No;Non;Non;informal
1804;DZ;Male;25+;Never Mar;Rural;Middle;manual t;No;No educati;No;Oui;Not at al;Yes;Non;No;No;Oui;Oui;informal
1805;DZ;Male;<= 19;Never Mar;Urban;Secondary;non manua;Yes;Middle;No;Non;Completel;Yes;Non;No;No;Non;Non;informal
1806;LB;Male;<= 19;Never Mar;Urban;Secondary;non manua;Yes;Primary;No;Non;Not at al;Yes;Non;No;yes;Non;Non;informal
1807;DZ;Female;25+;Ever Marr;Rural;Middle;manual t;No;Primary;Yes;Oui;Not at al;No;Non;No;No;Non;Non;informal
1808;EG;Male;25+;Never Mar;Rural;Middle;manual t;No;No educati;No;Oui;Not at al;No;Non;No;No;Non;Non;informal
1809;LB;Female;20 - 24;Never Mar;Urban;Middle;non manua;Yes;Middle;No;Non;Not at al;No;Non;yes;yes;Non;Non;informal
1810;EG;Male;20 - 24;Never Mar;Rural;Secondary;non manua;No;No educati;No;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
1811;TN;Male;20 - 24;Never Mar;Urban;Higher;non manua;Yes;Higher;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
1812;TN;Male;<= 19;Never Mar;Rural;Middle;non manua;No;Middle;No;Non;Not at al;No;Non;yes;yes;Oui;Oui;informal
1813;TN;Male;20 - 24;Never Mar;Urban;Middle;manual t;No;Primary;Yes;Non;Not at al;No;Non;yes;No;Non;Non;informal
1814;TN;Male;20 - 24;Never Mar;Urban;Middle;manual t;No;Primary;No;Non;Not at al;No;Non;No;No;Non;Non;informal
1815;TN;Male;25+;Never Mar;Urban;Higher;manual t;No;No educati;Yes;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;informal
1819;EG;Male;<= 19;Never Mar;Urban;Secondary;manual t;No;Secondary;No;Non;Not at al;No;Non;No;No;Non;Non;informal
1820;LB;Male;25+;Never Mar;Urban;Secondary;non manua;Yes;Primary;No;Non;Not at al;Yes;Non;No;No;Non;Non;informal
1821;TN;Male;20 - 24;Ever Marr;Rural;Primary;manual t;No;No educati;No;Non;Not at al;No;Non;yes;yes;Non;Non;informal
1822;LB;Male;20 - 24;Never Mar;Rural;Higher;non manua;Yes;Secondary;Yes;Non;Not at al;No;Non;yes;No;Non;Non;informal
1823;EG;Male;25+;Ever Marr;Rural;Primary;manual t;No;No educati;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
